"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特開2021-194652","特願2020-100487","2020/06/09","2021/12/27","溶接ワイヤ切断具","有限会社アイエル物産","B23K9/32@Z","特開2021-194652","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-194652/CC5134C4B00EBF26092B234FE45FFF35BF25C9FB51A27700AFFE3D5F29092666/11/ja"
"特開2021-188443","特願2020-096884","2020/06/03","2021/12/13","杭頭接合構造、既設構造物の耐震補強方法、及び既設構造物の杭頭接合部の補修方法","日本製鉄株式会社","E02D27/34@A,E02D27/12@Z","特開2021-188443","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-188443/FFAFC879D743CAB9158983059FED4CF02F027782E492C74E19E767CA131533B0/11/ja"
"特開2021-177031","特願2020-082128","2020/05/07","2021/11/11","耐火部材の施工方法および耐火部材","清水建設株式会社","E04B1/94@E,B23K9/20@A","特開2021-177031","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-177031/3BD636F06ECBE93DBA60BF2CFD061E0B8F7D5C0BF3CCDFFD93DD110219457AEF/11/ja"
"特開2021-176672","特願2021-078797","2021/05/06","2021/11/11","締結装置、締結装置システム、及びファスナを供給する方法","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B23P19/04@A,B23P19/00,301@H,B23P19/00,301@L,B21J15/32@F,B21J15/00@U","特開2021-176672","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-176672/79186C31F7ABFF596E2E3FBDA2CFC9E86CA4B159FAC29453D7C7EBB6CB3E058D/11/ja"
"特開2021-171899","特願2020-080170","2020/04/30","2021/11/01","ティーチング支援システムおよびそれを用いたティーチング支援方法","株式会社ＳＵＢＡＲＵ","B25J9/22@Z,G05B19/42@H","特開2021-171899","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-171899/F03958014790432C30787ADEE2D699B74A479801D69827B670CF2859E0043B93/11/ja"
"特開2021-154376","特願2020-060159","2020/03/30","2021/10/07","継手構造の製造方法、継手構造、及び自動車部品","日本製鉄株式会社","B21J15/00@Z,B23K9/20@A,B23K26/21@G,B23K11/11,540,B23K9/00,107@Z,B21J15/00@F,B21J15/02@N,B21J15/00@W,B21J15/14@G,F16B5/02@E,F16B5/08@A,F16B5/04@A,F16B5/04@C,F16B5/08@Z,F16B11/00@B,F16B11/00@D,B60R19/04@M,B62D25/04@A","特開2021-154376","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-154376/214E9BA274AD6EA47545617906DB12DF56D64876B33C01BF8A5DAA79D69D5A96/11/ja"
"特許6940908","特願2021-090298","2021/05/28","2021/09/29","制震装置の製造方法及び制震装置","アイディールブレーン株式会社","E04H9/02,311,E04H9/02,321@F,E04H9/14@G,F16F15/02@E","特開2022-182633","","特許6940908","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-6940908/0C4E77019FCA45AFE5307C900F77D811FD554FCCF69906429CE23948B46EDAB5/15/ja"
"特開2021-146367","特願2020-048366","2020/03/18","2021/09/27","接合装置及び接合方法","ＷＩＳＥ企画株式会社,株式会社スフィンクス・テクノロジーズ,富山県","B23K20/12@A","特開2021-146367","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-146367/1A36723E33E9C868D1E41B961CEB7B8EE8D8BE0A5C7430EA79AE43F60437C758/11/ja"
"特開2021-133409","特願2020-033015","2020/02/28","2021/09/13","溶接ガン、スタッド溶接セット及びスタッド溶接方法","ダイヘンスタッド株式会社","B23K9/20@D","特開2021-133409","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-133409/1C28616B199F2820698DE88BAF730ECED2083302BD743856FB07A56AE2F074ED/11/ja"
"特許6928728","特願2021-010823","2021/01/27","2021/09/01","スタッドジベル溶接装置及び加工装置","宮地エンジニアリング株式会社","B23K9/20@D,B23B45/00@B","特開2022-083375","","特許6928728","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-6928728/EF392FFB3F33D5489AA9EBBC3C1E3D46EDA36E0DC74A44078A75E5FB7B9AD113/15/ja"
"特開2021-122835","特願2020-016568","2020/02/03","2021/08/30","スタッド溶接方法およびスパッタ付着防止用治具","日鉄日新製鋼株式会社,日本製鉄株式会社","B23K9/20@C,B23K9/20@A","特開2021-122835","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-122835/44F078D54A05F0E1A696E8BA9A2F98539FDA5C6C364196F8BE16FFA647DFDC50/11/ja"
"特開2021-115575","特願2020-008326","2020/01/22","2021/08/10","スタッド溶接方法及びアース電極","日鉄日新製鋼株式会社,日本製鉄株式会社","B23K9/20@A,B23K9/20@C,B23K9/32@C","特開2021-115575","","特許7295435","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-115575/86A11528DE2DDAB7D8B0FAB33FBCC52BBEEE5702D0A6620CBEFC468F9E66DC48/11/ja"
"特開2021-112746","特願2020-005348","2020/01/16","2021/08/05","スタッド接合方法","日鉄日新製鋼株式会社,日本製鉄株式会社","B23K20/10","特開2021-112746","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-112746/182EF41D4330A879EACAF20D66E9B44A5675709FB2308362CE37A3800435708D/11/ja"
"特開2021-101077","特願2019-233047","2019/12/24","2021/07/08","構造体、およびその施工方法","株式会社フジタ","E02D27/12@Z,E02D27/00@D,E02D5/30@A","特開2021-101077","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-101077/1F89046347006C518831AD1421BFB736CDB6490E295A914BC4F13662FEA47478/11/ja"
"特開2021-094579","特願2019-227225","2019/12/17","2021/06/24","アーク加工システム","株式会社ダイヘン","B23K9/073,530,B23K9/073,535,H02M3/28@W,H02M7/48@E","特開2021-094579","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2021-094579/8E9933B09A65125FAF6FD102AF9CFF5679F29389C74A19E568706E53748A95DE/11/ja"
"特表2023-502799","特願2022-555612","2020/12/03","2021/06/10","鉄筋のつなぎのための平行‐テーパー一体型ねじ結合構造","キム、ヨン　グン","F16B7/18@A","特表2023-502799","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2023-502799/B4E6F9867045658A10D449870BF94A3D84600B1C46A77857E82882540A78014F/11/ja"
