"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","文献URL"
"特表2013-505343","特願2012-530198","2010/08/23","2011/03/31","接合方法、接合器具及び締結要素","ニューフレイ　リミテッド　ライアビリティ　カンパニー,アウディ　アクチェンゲゼルシャフト","B23P19/04@F,B29C65/52,C09J5/06","特表2013-505343","","特許5730313","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2013-505343/0E159D216B306BAA50A3D5DB13E9B0D3DBBF5452E3DB51603C8A9790D203B5ED/11/ja"
"特開2011-058294","特願2009-210538","2009/09/11","2011/03/24","鉄筋組立金物","有限会社三和製作所","E04C5/18,102,E04C5/18,103","特開2011-058294","","特許5325058","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-058294/6073D63EB38D2D7A1611EE3AF47D59E542B32DD7B29C75AFA0F34164AA2BDF02/11/ja"
"特開2011-043404","特願2009-191692","2009/08/21","2011/03/03","自在曲面スキャナー","株式会社ヒートパーツ","B43L13/22@B,G01B3/14,G01B5/20@C,G01B21/20@C","特開2011-043404","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-043404/AFAB3BCAE585896B62B25F81CDE92A7DCED2FDC8789A1D9CC8C0A7817D83E2F4/11/ja"
"特開2011-032744","特願2009-180433","2009/08/03","2011/02/17","海洋鋼構造物鋼部材の防食構造および防食方法","ＪＦＥスチール株式会社","B32B15/08@T,B32B15/095,C23F15/00,E02B3/04,E02D31/06@C,E02D31/06@D","特開2011-032744","","特許5375415","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-032744/1C4117831C7067B39294420CF1C42166D9F856BCE4A81CDEBF2F38F1518DB618/11/ja"
"特開2011-025266","特願2009-171951","2009/07/23","2011/02/10","キャパシタディスチャージスタッド溶接方法","国立大学法人九州工業大学,株式会社オートネットワーク技術研究所,住友電装株式会社,住友電気工業株式会社","B23K9/20@A,B23K9/235@Z,B23K103:18","特開2011-025266","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-025266/7E996FA4872A7E6E7749BE142BF470AD88F710E759AA2382C94990F1657BB514/11/ja"
"特開2011-017575","特願2009-161457","2009/07/08","2011/01/27","電位差法用端子固定具","中国電力株式会社","G01N27/02@B","特開2011-017575","","特許4990941","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-017575/64BC3E6917B7527E99D424A5EEA92DC0057523D3D99AA956F7E2CAD68DBDEF52/11/ja"
"特開2011-006943","特願2009-152168","2009/06/26","2011/01/13","ずれ止めおよび合成桁","株式会社横河住金ブリッジ","C21D8/00@B,C21D9/00@A,C22C38/00,301@Z,C22C38/06,C22C38/58,E01D1/00@H,E04B1/41,502@M,E04B5/32@C","特開2011-006943","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-006943/3D29703690CFB98908FBF75D99058E17225AA3EE00BE6C9C50278FF082E929E6/11/ja"
"特開2011-001776","特願2009-146527","2009/06/19","2011/01/06","橋梁用の継手組立体と伸縮継手","朝倉　健介","E01C11/02@A,E01D19/06","特開2011-001776","","特許5277086","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-001776/47CA3DCDE2491AF4C013D76B315F0F36BF59BC68C7FB0D6CF37AD8EC7FEA8010/11/ja"
"特開2011-001714","特願2009-144135","2009/06/17","2011/01/06","環境配慮型海洋構造物","株式会社大本組,海洋建設株式会社","E02B3/06,301","特開2011-001714","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-001714/01FE8F3511F05A32BD7EAD1FEABF4E9EEC609834849E01E43496B159C2A5A730/11/ja"
"特表2012-528721","特願2012-513600","2010/06/01","2010/12/09","大きいフランジ・ヘッドを有するスタッドのためのスタッド保持装置","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B23K9/20@F,B23K11/00,530","特表2012-528721","","特許5631983","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2012-528721/D7F94D0D30A2E228B8B88B8BF06AAE26085243331A954605A94D9F4566105B73/11/ja"
"特開2010-269787","特願2010-115310","2010/05/19","2010/12/02","摺動式エアバッグ固定装置","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B60R21/205","特開2010-269787","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-269787/95A224E310F372B11DB37C68847B3320C34ED3AE1799D0F51FC1CBC14183EC57/11/ja"
"特開2010-269786","特願2010-115309","2010/05/19","2010/12/02","エアバッグの保持装置を固定するための方法","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B60R21/213","特開2010-269786","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-269786/F8EF9FD99FF8C629F95A13B25D15E85CE618BD2AC475580ECECAFC5F395CE2B2/11/ja"
"特開2010-263283","特願2009-110552","2009/04/30","2010/11/18","携帯電話機","パナソニック株式会社","H01Q1/24@Z,H01Q1/38,H01Q9/28,H04M1/02@C","特開2010-263283","","特許5366302","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-263283/9F5132E14C4A2DE8B860FCDC68D19D997729876366C0FE38580453BB2BDA5A9F/11/ja"
"特開2010-261253","特願2009-113902","2009/05/08","2010/11/18","基礎構造","ＪＦＥスチール株式会社","E02D27/12@Z,E02D27/32@A","特開2010-261253","","特許5423134","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-261253/BC8DE87481A039996A92C0424BE8FCDE26BF23F416934DCAFB56F08AA58449FC/11/ja"
"特開2010-255196","特願2009-103041","2009/04/21","2010/11/11","鋼・コンクリート合成床版","株式会社横河住金ブリッジ","E01D19/12","特開2010-255196","","特許5372587","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-255196/FE89C0D9841CE82DD9BC24E34B55BF60E3095340B15A5D940E461FEC328DAE18/11/ja"
"特開2010-240667","特願2009-089324","2009/04/01","2010/10/28","ダンパ固定治具、およびその製造方法","平井工作株式会社","B23K9/20@A,B23K9/20@B","特開2010-240667","","特許5291516","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-240667/69AF59D31430D1A86A10BC01A56AFC8386B4BFFB49D55F57BD1DD2B769068922/11/ja"
"特開2010-221646","特願2009-074141","2009/03/25","2010/10/07","金型","本田技研工業株式会社","B29C51/36","特開2010-221646","","特許5358238","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-221646/B8C35C7C499A8727B36524834711B003C06FD819EBD08E3DD02B6756A1714754/11/ja"
"特開2010-221252","特願2009-070802","2009/03/23","2010/10/07","コンデンサ放電型スタッド溶接機の溶接良否判定方法及び判定装置","日本ドライブイット株式会社","B23K9/073,550,B23K9/20@A,B23K9/20@G","特開2010-221252","","特許5358235","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-221252/BC0AA9D6E9C73A717A8B503FFAB9C0402078932E888D1E0286E2F790D933608C/11/ja"
"特開2010-216067","特願2010-115009","2010/05/19","2010/09/30","熱ロール","バルメット　テクノロジーズ　インコーポレイテッド","D21G1/02,F16C13/00@A,F16C13/00@E","特開2010-216067","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-216067/B4D9F4084E02E2A9089AA5E49B5DC71932545E38F4FC6FDC1ABCC62956DB0E4F/11/ja"
"特開2010-196275","特願2009-039655","2009/02/23","2010/09/09","梁の配管挿通部における耐火被覆構造","積水ハウス株式会社","E04B1/94@C,E04B1/94@F","特開2010-196275","","特許5141592","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-196275/2E435F308468F39F1AB9103F5AB2D7579771403E56980875552FA91174E34F83/11/ja"
"特開2010-194606","特願2009-063519","2009/02/20","2010/09/09","セラミックス板の取付け構造とその方法","善明　英喜","B23K9/20@A,B23K11/00,530,B23K103:18","特開2010-194606","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-194606/123A204D723B50540C5BA6477133620C62A6DEE3BFB986919D2AF26EB50D09A6/11/ja"
"特開2010-174474","特願2009-016568","2009/01/28","2010/08/12","プレストレストコンクリート杭及びその製造方法並びに杭頭部とフーチングとの連結方法","前田製管株式会社","E02D5/58@Z,E02D27/12@Z","特開2010-174474","","特許5258099","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-174474/A71C5CF56C951C5BC4F11B77BC7D396EC0D6F2AF0FAA5C8D6005D4442A001CF3/11/ja"
"特開2010-162598","特願2009-026733","2009/01/14","2010/07/29","セラミックス板の取付け方法","善明　英喜","B23K9/20@A,B23K9/20@B,B23K11/00,530,B23K103:18","特開2010-162598","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-162598/2A28CA9B293D0AD38B451DB3580A992F0E19F63AAD971CEC653EC4ABA009CF8E/11/ja"
"特表2012-515312","特願2011-545694","2010/01/18","2010/07/22","クリップ","ニューフレイ　リミテッド　ライアビリティ　カンパニー","F16L3/10@Z,F16L3/12@G,F16L3/123","特表2012-515312","","特許5730783","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2012-515312/07EB56E0B31DE5B265969026498113FA153E3E73776A96D6DBBAE6EA27C9FB43/11/ja"
"特開2010-159950","特願2009-202502","2009/09/02","2010/07/22","多層耐火物構造の炉の解体方法","新日鉄住金エンジニアリング株式会社","C21B9/10,302,F27B9/34,F27D1/16@T","特開2010-159950","","特許4528876","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-159950/864F8DBC076B770591ECFD33096922646EE3D25C85554498F2F07356A2F6ADE3/11/ja"
"特開2010-150791","特願2008-329193","2008/12/25","2010/07/08","道路橋の荷重支持型伸縮装置とその施工法","山内　重一,山内　順二,山内　芳夫","E01C11/02@A,E01D19/06","特開2010-150791","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-150791/941955C845A16AC5E7DE59BDA5E656D1D9A157C002C3CC7717588581ACC13CA9/11/ja"
"特開2010-150782","特願2008-328771","2008/12/24","2010/07/08","鉄骨柱の設置構造","日立機材株式会社","E04B1/21@B,E04B1/24@R,E04B1/58,508@P","特開2010-150782","","特許5344748","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-150782/E0DC8AD0D43491E8ECF7DD98CF718964773D58E6735CB9948248D7E6F52E0104/11/ja"
"特開2010-150781","特願2008-328770","2008/12/24","2010/07/08","鉄骨柱と梁コンクリート主鉄筋の連結構造","日立機材株式会社","E04B1/24@R,E04B1/30@K,E04B1/58,508@P","特開2010-150781","","特許5344747","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-150781/6AB3EDE8B4C18C83976F4C9ACA1AA655E433C736D23502EB406F3AF316DF9200/11/ja"
"特開2010-137276","特願2008-318369","2008/12/15","2010/06/24","スタッド溶接装置","ポップリベット・ファスナー株式会社","B23K9/20@D,B23K9/20@F,B23K11/00,530","特開2010-137276","","特許5207059","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-137276/25EE5F6FE5F9B19972780FB1F182AB77C71D7189FBD2383946628ABCEE9750B1/11/ja"
"特開2010-125624","特願2008-299755","2008/11/25","2010/06/10","マグネシウム合金部材","住友電気工業株式会社","B21B3/00@L,B23K20/00,340,B23K20/00,360@F,B23K20/00,360@H,B32B9/00@A,B32B15/01@Z,B32B15/04@Z,C09J1/00,C09J5/00,C22C23/02,C22F1/00,612,C22F1/00,623,C22F1/00,627,C22F1/00,630@A,C22F1/00,630@K,C22F1/00,630@M,C22F1/00,631@Z,C22F1/00,640@A,C22F1/00,661@Z,C22F1/06","特開2010-125624","","特許5392465","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-125624/30F0CD122016803219ACB05690C3E60EA470D484E38F650998ABCBE3A1374968/11/ja"
"特開2010-121333","特願2008-295044","2008/11/19","2010/06/03","鉄骨柱と梁コンクリート主鉄筋の連結構造","日立機材株式会社","E02D27/00@D,E04B1/24@R,E04B1/30@K,E04G21/12,105@C","特開2010-121333","","特許5340700","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-121333/DF42CCFA09485636DD655521E9DA066B9BF85998A7E8B8864631EB66A1EAC68E/11/ja"
"特表2012-509206","特願2011-536764","2009/11/14","2010/05/27","接合方法及び接合装置","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B29C65/34","特表2012-509206","","特許5616898","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2012-509206/2401F2F5EBEED4AF0952FF5E613FD8218EDDEA25C0197883BFFD8EC23B375A34/11/ja"
"特表2012-509047","特願2011-535910","2009/11/11","2010/05/20","電気溶接回路の変数を判定する方法及び器具","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B23K9/073,525,B23K9/10@Z,H02M9/00@B","特表2012-509047","","特許5576873","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2012-509047/B7176DE63CD7012EB3E3030735BD9DFCD5FB915F0016EF3CAF8D8D6AF656EE53/11/ja"
"特開2010-101542","特願2008-272579","2008/10/23","2010/05/06","炉底管の補強構造","三菱重工業株式会社","F22B37/20@B","特開2010-101542","","特許5129718","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-101542/DAA0E3A8EB5CB79A8E094B3D884A821F02E1879808EF0B837C387F6DC3745278/11/ja"
"特開2010-083286","特願2008-253494","2008/09/30","2010/04/15","自動車車体の製造方法","マツダ株式会社","B62D25/04@C,B62D25/04@D,B62D25/20@F,B62D65/00@Q","特開2010-083286","","特許5272623","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-083286/022954C45596BA7D15EC35971F6435E7DD4B563BDB8B561CBE58C8276760AF9E/11/ja"
"特開2010-082636","特願2008-252079","2008/09/30","2010/04/15","柱状部材の溶接方法、放熱部材の製造方法および放熱部材","株式会社アライドマテリアル","B23K9/20@A,H01L23/36@Z","特開2010-082636","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-082636/43700EFAC283D5F1E50128E00A20FA3EE6766D4E317D26492FC159827D73EC7D/11/ja"
"特表2012-502799","特願2011-527064","2009/09/16","2010/03/25","ドロウンアーク固定具溶接における波形制御","ネルソン　スタッド　ウェルディング，インコーポレイテッド","B23K9/20@A,B23K9/20@C,B23K9/20@D","特表2012-502799","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2012-502799/027AC8637A21AD60B6F70AD61D91AE3E0B00011889CEF6313EFD17877C72A7E5/11/ja"
"特開2010-065466","特願2008-233383","2008/09/11","2010/03/25","ドアパネル","キャタピラー　エス　エー　アール　エル","E02F9/00@N","特開2010-065466","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-065466/913C7FE68A31734DC98789ADD0323FDFF74914AF6B185B945620F194FF235051/11/ja"
"特開2010-053593","特願2008-219534","2008/08/28","2010/03/11","耐火板取付構造","清宮　理,株式会社ケー・エフ・シー,株式会社エーアンドエーマテリアル","E21D11/38@B,E21F5/00","特開2010-053593","","特許5124393","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-053593/F17E7A916D0E7D8B0DA17811465FF82FC94327684C45594967545C8F798EBCC7/11/ja"
"特開2010-047935","特願2008-211833","2008/08/20","2010/03/04","ドアパネル","キャタピラー　エス　エー　アール　エル","E02F9/00@N,E06B3/72,E06B7/02","特開2010-047935","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-047935/D026B634F37A55FE07D8B2969A8D861B231AA5EDE121C1DDCCB143B5EFA24F0C/11/ja"
"特開2010-043481","特願2008-208617","2008/08/13","2010/02/25","ドアパネル","キャタピラー　エス　エー　アール　エル","B62D25/10@B,E02F9/00@N,E02F9/16@E","特開2010-043481","","特許5083903","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-043481/5102812117BAEBEAC9E314042DAFC2BE69C5AD709986D664E7A8B3DE1A61C03D/11/ja"
"特開2010-043460","特願2008-207826","2008/08/12","2010/02/25","ドアパネル","キャタピラー　エス　エー　アール　エル","B62D25/10@L,E02F9/00@N","特開2010-043460","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-043460/8262071118F9DFA97EDC0422F36AD9425512A49E79339B459E6A424E73FD887A/11/ja"
"特開2010-036201","特願2008-199902","2008/08/01","2010/02/18","摩擦攪拌接合における仮付け方法及び摩擦攪拌接合方法並びにそれらの方法に用いるスタッド銃","株式会社日立製作所","B23K9/20@A,B23K9/235@B,B23K20/12,330,B23K28/02","特開2010-036201","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-036201/5D76FC134FEB1452A2E7F7D1EF273A04DDC8F6968A6239FAFC4969492AB90E71/11/ja"
"特開2010-032052","特願2009-173159","2009/07/24","2010/02/12","細長い物品のためのホルダ","ニューフレイ　リミテッド　ライアビリティ　カンパニー","F16B2/10@D,F16B2/22@C,F16B7/04,302@B,F16B7/22,F16L3/12@G,F16L3/123","特開2010-032052","","特許5501685","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-032052/D777B22BAE6B621598372F7966A3DB4349CF1E97C906F995CD04967148C08F4D/11/ja"
"特表2011-527738","特願2011-517600","2009/07/09","2010/01/14","スタッド溶接のためのスタッド","ニューフレイ　リミテッド　ライアビリティ　カンパニー","B21K1/46@A,B23K9/20@B,B23K11/00,530,F16B11/00@D,F16B23/00@D,F16B35/04@G","特表2011-527738","","特許5580820","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-527738/9631E231D48CC9BC26FF10F5346A5E3F0C8FB7347E4F84C4CC093517C2A4C713/11/ja"
"特開2010-005689","特願2008-170851","2008/06/30","2010/01/14","摩擦攪拌接合における突合せ部の仮付け方法及びそれを用いた摩擦攪拌接合方法","株式会社日立製作所","B23K9/20@B,B23K20/12,330","特開2010-005689","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2010-005689/CE493CC17C8BDF6000EFD28CF46608227ABA755C7D6346487FF4B553543B0E3A/11/ja"
"実登3156467","実願2009-006982","2009/09/30","2010/01/07","杭頭補強筋ユニット","サンロード・スチール株式会社","E02D27/12@Z","","","実登3156467","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-3156467/EAAD0551524DB642AE85D6A50794BBAE184481822DE9E78B8B5441AF646E83EA/25/ja"
"特開2009-293272","特願2008-147709","2008/06/05","2009/12/17","積層複合材固定構造","田代　幹夫","E04F13/08@S","特開2009-293272","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-293272/E0EDA0B8F00C6391757903C7BF368BAE6C7D5C92F004EFE5787C8C047DF93606/11/ja"
"特開2009-291837","特願2008-176310","2008/06/09","2009/12/17","耐磨耗板とその取付け方法","原田　哲男","B23K1/00,330@N,B23K1/19@B,B23K9/20@A,B23K9/20@B,B23K11/00,530","特開2009-291837","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-291837/D3CBFAC105C7FB334ABE9F39203DB127C089F8C172949A6BE659BD7DAA10CD61/11/ja"
"特開2009-275412","特願2008-127875","2008/05/15","2009/11/26","現場打ち延長床版のすべり面構造","東日本高速道路株式会社,株式会社高速道路総合技術研究所,日本鉄塔工業株式会社,中日本高速道路株式会社,西日本高速道路株式会社","E01C11/02@A,E01D19/06","特開2009-275412","","特許5102695","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-275412/2CCC2DFFC05664DD5D48E3CB3FA4EDD135A06E73FE19DAE93E54F8D05B787977/11/ja"
"特表2011-519727","特願2011-507795","2009/01/30","2009/11/12","溶接リベット接合","ダイムラー・アクチェンゲゼルシャフト","B23K11/14","特表2011-519727","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-519727/C82B37B2D787F50E94D8F474E0F615B55D46DDE4FF98C9951D636F3B7B6EF75F/11/ja"
"特開2009-263904","特願2008-111933","2008/04/23","2009/11/12","金属製縦樋","株式会社タニタハウジングウェア","E04D13/08@A,E04D13/08,311@A","特開2009-263904","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-263904/AE2A11C21563E08EC12B91B2095997DC446C58A0C8508F962E1E88F38A5D3DE9/11/ja"
"実登3154968","実願2009-005947","2009/08/21","2009/10/29","板金修復用治具","デンゲン株式会社","B21D1/00@A,B21D1/06@A,B21D1/06@B,B21D1/12@B,B60S5/00","","","実登3154968","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-3154968/09D946D4222F3505AFB4AAF3460810EF9B2070FF23C0A762A42C73D57D3239A1/25/ja"
"特開2009-250425","特願2008-103064","2008/04/11","2009/10/29","脱落防止ネジ","知識　英和","F16B23/00@Z,F16B41/00@K","特開2009-250425","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-250425/19B35C61AB9F5147104B23D3D1AD06AC793F8ACBF95A65FB53F600B8913F3A70/11/ja"
"実登3154281","実願2009-005558","2009/07/15","2009/10/15","額縁への展示物の取付け構造","山陰総業有限会社","A47G1/06@H","","","実登3154281","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-3154281/20BF59C0B57918BF7F8106800ACA9685A9EC560A05DF78D28CEF1EC8599DEE54/25/ja"
"再表2009/119222","特願2009-540542","2009/02/23","2009/10/01","高強度高導電銅合金管・棒・線材","三菱伸銅株式会社","C22C9/00,C22C9/01,C22C9/02,C22C9/04,C22C9/06,C22C9/10,C22F1/00,602,C22F1/00,604,C22F1/00,612,C22F1/00,624,C22F1/00,625,C22F1/00,626,C22F1/00,630@A,C22F1/00,630@C,C22F1/00,630@D,C22F1/00,630@K,C22F1/00,630@M,C22F1/00,631@A,C22F1/00,640@A,C22F1/00,650@A,C22F1/00,650@F,C22F1/00,661@A,C22F1/00,682,C22F1/00,683,C22F1/00,685@Z,C22F1/00,686@A,C22F1/00,691@B,C22F1/00,691@C,C22F1/00,692@A,C22F1/00,692@B,C22F1/00,694@A,C22F1/08@B,C22F1/08@C,H01B1/02@A,H01B5/02@Z,H01B5/06","WO2009/119222","","特許5051927","","再表2009/119222","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-119222/D650CD1BC4D4486E9CF51E42458E8C8C9D49F474EBE961CDE43759D929DADCA0/19/ja"
"特表2011-517623","特願2011-501014","2009/03/23","2009/09/24","急速コンデンサ放電による金属ガラスの形成","カリフォルニア　インスティテュート　オブ　テクノロジー","B21J1/06@Z,B21J5/00@B,B22D17/00,512,B22D17/00,540","特表2011-517623","","特許5775447","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-517623/6D2DAB383F6AD0136FF2AE8881BAC2CC1C2AB88549CB7E52708B533B12F628F2/11/ja"
"特開2009-215791","特願2008-060882","2008/03/11","2009/09/24","梁ユニット","大成建設株式会社","E04B1/22,E04B1/30@H,E04C3/26,E04C3/293","特開2009-215791","","特許5039616","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-215791/21264A095397FE9E3FD9F74EA29B54BCC4A6EA5188A77860A31161C552176995/11/ja"
"特開2009-214134","特願2008-060068","2008/03/10","2009/09/24","溶接ブラケット","ポップリベット・ファスナー株式会社","B23K9/20@A,B23K9/20@B","特開2009-214134","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-214134/247BF23801E1F14A8FDD74D83C82F0FCEC3C4958B986A7483C42CDC5B6B56B7F/11/ja"
"特許4332862","特願2008-217301","2008/07/30","2009/09/16","スタッド溶接システム及びその溶接管理方法","株式会社日本海洋サービス","B23K9/20@A,B23K31/00@K","特開2010-029935","","特許4332862","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-4332862/63160180E265E4FADBFAEE019D3237C976BA476BA562922A6D767F2B605EE0EE/15/ja"
"再表2009/107586","特願2009-540543","2009/02/23","2009/09/03","高強度高導電銅棒線材","三菱伸銅株式会社,三菱マテリアル株式会社","C22C9/00,C22C9/02,C22C9/04,C22C9/06,C22F1/00,602,C22F1/00,604,C22F1/00,624,C22F1/00,625,C22F1/00,630@A,C22F1/00,630@D,C22F1/00,630@K,C22F1/00,631@A,C22F1/00,640@A,C22F1/00,650@A,C22F1/00,661@A,C22F1/00,681,C22F1/00,683,C22F1/00,684@A,C22F1/00,685@Z,C22F1/00,686@Z,C22F1/00,691@B,C22F1/00,691@C,C22F1/00,692@A,C22F1/00,692@B,C22F1/00,694@A,C22F1/00,694@B,C22F1/08@C,C22F1/08@Q,H01B1/02@A,H01B5/02@Z","WO2009/107586","","特許5394250","拒絶2013-014820","再表2009/107586","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-107586/24CF52BC7D747B6386F74A3B7725A44F35619CD694C99776BA8461A19B34B210/19/ja"
"特表2011-514491","特願2010-548867","2009/02/26","2009/09/03","部品を締結するための方法及びその方法を実行するためのファスナ","ニューフレイ　リミテッド　ライアビリティ　カンパニー","F16B5/08@A,F16B11/00@D,F16B19/10@D","特表2011-514491","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2011-514491/09FC4D377AA50DE372B1828C16841886E23F9C579E31F635B410B352F8CB2A0F/11/ja"
"特開2009-198244","特願2008-038709","2008/02/20","2009/09/03","合成部材の耐火性能評価方法","大成建設株式会社","E04B1/94@Z,E04B5/32@D,E04B5/40@E,G01N3/18","特開2009-198244","","特許5006227","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-198244/52360736CEBFFD3D9E2CB4F0CC5A597A9C4634AEC0A4FFE22CC3F7C3F840A84E/11/ja"
"特開2009-185598","特願2008-246308","2008/09/25","2009/08/20","補強構造","大成建設株式会社","E04G23/02@D","特開2009-185598","","特許5142329","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-185598/CEA422E6C93078386052C227DE3735D0EBC209EF6E5CA60C368D5E333C74A70C/11/ja"
"特開2009-179955","特願2008-017551","2008/01/29","2009/08/13","折板屋根用取付け金具","銅市金属工業株式会社","E04D13/00@J,E04H5/04,H02S20/23@B","特開2009-179955","","特許4567070","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-179955/C2B06AAB9788B23B6564D179E8474973191450EA522E22D2C245779DCA12451D/11/ja"
"特開2009-174201","特願2008-014425","2008/01/25","2009/08/06","断熱材固定用ピン","株式会社九飛勢螺","B23K9/20@B,B23K9/20@G,E04B1/76@D,E04B1/76@Q,E04B1/76,400@F,E04B1/76,500@C,E04B1/94@C","特開2009-174201","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-174201/32A8384D729FF46D117D0BBC40F758813C00CF183FB8C7ACA54C0BB26425D55A/11/ja"
"特開2009-160653","特願2008-027035","2008/01/09","2009/07/23","耐磨耗板とその取付け方法","原田　哲男","B23K1/00,330@N,B23K1/19@B,B23K11/00,530,B23K28/02,C04B37/02@B","特開2009-160653","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-160653/B86FB6EFC4174CD52AFFA39F6615F2C1BC5522DCDEF6487432B9E5D8BD7C6944/11/ja"
"特開2009-150497","特願2007-329793","2007/12/21","2009/07/09","溶接スタッド","ポップリベット・ファスナー株式会社","B23K9/20@B,F16B35/04@G,F16B35/06@F","特開2009-150497","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-150497/806947C364E8AD18F8F5B166F0323C14CA902BE9A03C6F63EF03FD788B9A9A0E/11/ja"
"特開2009-150137","特願2007-329426","2007/12/21","2009/07/09","断熱材固定用ピン","株式会社九飛勢螺","E04B1/80@G,E04B1/80,100@A","特開2009-150137","","","","","https://www.j-platpat.inpit.go.jp/c1800/PU/JP-2009-150137/9E756BFBE73315B985B4982027797FC55F50DE58155815149BEFCDF72FBC0A7B/11/ja"
